iter,err_k,err_x
394,3.33246195e-04,8.31480287e-17
395,3.32396961e-04,8.32430008e-17
396,3.31552056e-04,8.31955283e-17
397,3.30711445e-04,7.70826880e-17
398,3.29875096e-04,7.98517977e-17
399,3.29042977e-04,8.27670506e-17
400,3.28215056e-04,7.81009975e-17
401,3.27391301e-04,8.47014519e-17
402,3.26571681e-04,8.15165758e-17
403,3.25756164e-04,8.29577583e-17
404,3.24944720e-04,8.39518668e-17
405,3.24137319e-04,7.94052791e-17
406,3.23333930e-04,8.07374270e-17
407,3.22534524e-04,7.87056594e-17
408,3.21739070e-04,8.35272691e-17
409,3.20947540e-04,8.25759024e-17
410,3.20159905e-04,8.46547973e-17
411,3.19376136e-04,7.97032361e-17
412,3.18596204e-04,8.49808417e-17
413,3.17820082e-04,7.68260017e-17
414,3.17047742e-04,8.44211375e-17
415,3.16279156e-04,7.96040410e-17
416,3.15514296e-04,8.49343406e-17
417,3.14753136e-04,8.05414621e-17
418,3.13995649e-04,7.91061997e-17
419,3.13241809e-04,7.99012569e-17
420,3.12491588e-04,8.64556736e-17
421,3.11744962e-04,7.79490992e-17
422,3.11001904e-04,7.86554485e-17
423,3.10262389e-04,8.39518668e-17
424,3.09526391e-04,8.20479488e-17
425,3.08793886e-04,7.95047221e-17
426,3.08064848e-04,8.90665822e-17
427,3.07339253e-04,8.15165758e-17
428,3.06617078e-04,8.03941749e-17
429,3.05898296e-04,8.36218104e-17
430,3.05182886e-04,8.11766184e-17
431,3.04470823e-04,7.49519146e-17
432,3.03762083e-04,7.94052791e-17
433,3.03056643e-04,8.31005019e-17
434,3.02354482e-04,8.53982126e-17
435,3.01655574e-04,7.77461064e-17
436,3.00959899e-04,8.26715317e-17
437,3.00267433e-04,8.43274922e-17
438,2.99578155e-04,8.64099661e-17
439,2.98892042e-04,8.31480287e-17
440,2.98209073e-04,8.08840891e-17
441,2.97529227e-04,8.31005019e-17
442,2.96852481e-04,7.91561248e-17
443,2.96178815e-04,7.88561005e-17
444,2.95508207e-04,8.05904980e-17
445,2.94840637e-04,8.23843107e-17
446,2.94176085e-04,8.36218104e-17
447,2.93514529e-04,7.96040410e-17
448,2.92855950e-04,8.19515918e-17
449,2.92200327e-04,8.12252709e-17
450,2.91547642e-04,8.20960849e-17
451,2.90897873e-04,8.05904980e-17
452,2.90251002e-04,8.12738942e-17
453,2.89607008e-04,7.91561248e-17
454,2.88965874e-04,8.33378646e-17
455,2.88327580e-04,8.12252709e-17
456,2.87692107e-04,7.98517977e-17
457,2.87059436e-04,8.16618386e-17
